rhoP,theta,s,open_regime,closed_regime,final_regime,B_open,B_closed,P_open,P_closed,U_open,U_closed
0.01,0.11789473684210526,1.1842105263157894,intermediate,closed,bistable,0.30489953974699274,1.0,0.8869194625261126,0.09629612323664086,0.332845933919288,0.7711805728415622
0.01,0.11789473684210526,1.2526315789473683,intermediate,closed,bistable,0.3213026291093471,1.0,0.8845028182672321,0.09533308640482069,0.33429392996982304,0.7714487164153648
0.01,0.11789473684210526,1.3210526315789475,intermediate,closed,bistable,0.33780009589954085,1.0,0.8820561746155539,0.09462104059855399,0.33579884788364395,0.7715711272434176
0.01,0.11789473684210526,1.3894736842105264,intermediate,closed,bistable,0.35445123106157894,1.0,0.8795222447755491,0.09410718237556422,0.33737377514249955,0.7716562578840478
0.01,0.11789473684210526,1.4578947368421054,intermediate,closed,bistable,0.37116280958467973,1.0,0.8769661682229517,0.09373810657554171,0.33900269956296925,0.7717153788091937
0.01,0.11789473684210526,1.5263157894736843,intermediate,closed,bistable,0.3880010461122028,1.0,0.8743188409589718,0.09351446430825498,0.3407051137806146,0.7718434631027659
0.01,0.11789473684210526,1.5947368421052632,intermediate,closed,bistable,0.404874348866758,1.0,0.8716565163847354,0.09332743221593337,0.3424591212715923,0.7718714314459287
0.01,0.11789473684210526,1.6631578947368422,intermediate,closed,bistable,0.4218555369289825,1.0,0.8688981505374995,0.09319410094977472,0.3442906170632073,0.7718908074612413
0.01,0.11789473684210526,1.731578947368421,intermediate,closed,bistable,0.43885232584909617,1.0,0.8661313655805208,0.09309915921305939,0.34617166647590425,0.7719042661220434
0.01,0.11789473684210526,1.8,intermediate,closed,bistable,0.45594434777168547,1.0,0.8632630332181344,0.09303160520430227,0.3481346951377234,0.7719136210409718
0.01,0.13052631578947368,0.5,open,open,open,0.1180535619277017,0.14719532770155985,0.9067593472579906,0.4607220932276946,0.32365230035397063,0.36078996195540813
0.01,0.13052631578947368,0.5684210526315789,open,open,open,0.13089412252483457,0.1615791383827071,0.9051413777714938,0.48888876578161533,0.3228871836680541,0.36258061298128313
0.01,0.13052631578947368,0.6368421052631579,open,open,open,0.1436500812754312,0.17589774417466525,0.9033170600442709,0.5195193252620776,0.32277470750825094,0.3636166834865202
0.01,0.13052631578947368,0.7052631578947368,open,open,open,0.15664097823274237,0.19024929696623213,0.9013475859638065,0.5494726076989341,0.32312229354473077,0.36422123899595144
0.01,0.13052631578947368,0.7736842105263158,open,closed,bistable,0.17000597556578725,0.9997618271685998,0.8992507444503705,0.1248689539887533,0.32372315045748384,0.7563377484115821
0.01,0.13052631578947368,0.8421052631578947,open,closed,bistable,0.18373969942582097,1.0,0.8970411796042695,0.11115244940333724,0.32450509019178087,0.7643941502191827
0.01,0.13052631578947368,0.9105263157894737,open,closed,bistable,0.19775940535849987,1.0,0.8947560754235506,0.10566213168350908,0.32543938388045335,0.7674452624390778
0.01,0.13052631578947368,0.9789473684210527,intermediate,closed,bistable,0.21213934307355312,1.0,0.8923660560386479,0.10207039964473534,0.32647182625593124,0.7690203575311004
0.01,0.13052631578947368,1.0473684210526315,intermediate,closed,bistable,0.22676423673561868,1.0,0.8899197880338225,0.09949006938968954,0.3276030712893446,0.7700423872324073
